Tweet
"['burn', 'none', 'none']"
"['vodka', 'knock', 'damn', 'tribe', 'solar', 'hemin', 'eeri']"
['bed']
"['felt', 'first', 'flash', 'violenc', 'fool', 'bump', 'none', 'piti', 'fool']"
"['ladi', 'drink', 'get', 'free', 'till', 'none']"
"['none', 'none', 'dm']"
['fuck']
"['watch', 'piranha', 'back', 'merchant', 'u', 'r', 'hilari']"
"['none', 'fino']"
"['shop', 'kohl', 'help', 'none']"
"['mizzen', 'cell', 'es', 'segu', 'hombr']"
"['none', 'none', 'none', 'away']"
"['none', 'oak', 'none', 'nap', 'none']"
"['quiet', 'sugar', 'tenni']"
"['mess', 'none']"
"['come', 'piranha', 'net', 'help', 'none']"
"['none', 'twitter', 'friend', 'cant', 'stick']"
"['none', 'champ', 'e', 'puma', 'seem', 'e', 'van', 'none']"
"['tire', 'gang', 'none', 'none', 'none', 'help', 'none']"
"['fall', 'apart', 'break', 'heart', 'bare', 'breath']"
"['none', 'oh', 'god', 'go', 'way', 'back', 'none', 'none']"
"['way', 'treat', 'way', 'accept', 'love', 'much', 'care', 'make', 'perfect']"
"['wan', 'get', 'pull', 'sled', 'four', 'wheeler', 'godship']"
"['oh', 'fake', 'door', 'slam', 'nois', 'ugh', 'cab']"
"['none', 'cool', 'none', 'wan', 'see', 'u', 'get']"
"['none', 'hah', 'never', 'get', 'told', 'post', 'none', 'like', 'guard', 'yakka']"
"['comer', 'plea', 'method', 'metag', '8']"
"['none', 'none', 'none', 'bear', 'mountain', 'lion', 'round', 'part']"
"['right', 'without', 'wrong', 'first']"
"['tweet', '4484', 'dedic', 'none']"
"['none', 'none', 'young', 'occup']"
"['none', 'ah', 'okay', 'old', 'ate', '13']"
"['none', 'none', 'none', 'none', 'none', 'none', 'sigil']"
"['vampir', 'band', 'sing', 'ajar', 'si', 'cant', 'none', 'hay', 'mommi', 'rind', 'de', 'keep', 'dong', 'dong', 'none', 'seek']"
"['none', 'rang', 'regul', 'el', 'major', 'none']"
"['yo', 'tow', 'ki', 'none', 'rip', 'kw', 'sell', 'tee', 'la', 'drug', 'nomad', 'ski', 'none', 'kw', 'rent', 'pie', 'tee', 'hoo', 'none']"
"['rain', 'bitch', 'get', 'dick', 'least', '3', 'chick', 'york', 'hoe', 'easi', 'game', 'chang', 'babi', 'hah']"
"['resurvey', '74', 'stripper', 'would', 'name', 'tripl', 'trick', 'girl', 'boy', 'name']"
"['ilex', 'feel', 'none', 'even', 'get', 'bed', 'truli', 'feel', 'reli', 'sick', 'shitti']"
"['none', '2013', 'none', 'hamat', 'none', 'propel', 'none', 'ki', 'none', 'son', 'none']"
"['go', 'continu', 'want']"
"['none', 'none', 'even', 'parti']"
"['none', 'none', 'none', 'none', 'none', 'none', 'none', 'pic', 'help', 'none']"
"['none', 'none']"
"['jook', 'mana', 'e', 'tri']"
"['none', 'help', 'none']"
"['vege', 'none', 'none', 'help', 'none']"
"['drink', 'mama', 'littl', 'yell', 'piss', 'none', 'none', 'help', 'none']"
"['none', 'hurrah', 'vegan', '80', 'holder', 'poker', 'tournament', '20', 'bounti', 'none', 'help', 'none']"
"['none', 'none', 'x']"
"['none', 'hah', 'way']"
"['none', 'none', 'eta', 'poo', 'brasilein', 'banana', 'none']"
"['fife', 'fatal', 'take', 'best', 'doubl', 'mean', 'none']"
"['grade', 'top', 'notch']"
"['major', 'dig', 'dada', 'si', 'lo', 'ago', 'boy', 'prefer', 'mama', 'e', 'signal', 'hard', 'case']"
"['fishworm', 'priceless', 'god', 'bless']"
"['yeah', 'fuck', 'none', 'fan', 'ain', 't', 'scar']"
['9']
"['none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none']"
"['8', 'merit', 'magic', 'mark', 'none', 'coo', 'none', 'none', 'pelota']"
"['none', 'fossa', 'must', 'dual', 'none', 'de', 'vodka', 'pure', 'agent', 'eve', 'due', 'pro', 'polit', 'outta', 'ja', 'lava', 'varia', 'none']"
"['peaki', 'tie', 'demand', 'none', 'stop', 'hah']"
"['none', 'ben', 'jig']"
"['el', 'bueno', 'commerci', 'de', 'xerox', 'e', 'tuna', 'mama', 'none']"
"['none', 'real', 'true', 'opposit', 'real', 'fake']"
"['man', 'toga', 'none', 'puff']"
"['none', 'none', 'q', 'oo']"
"['none', 'none', 'lot', 'peac', 'en', 'hombr', 'en', 'none', 'moment', 'none', 'parev', 'none', 'ad', 'none']"
"['whistl', 'babi']"
"['1999', 'job', 'none', 'none', 'hot', 'veneer', 'press', 'pleas', 'feel', 'free', 'make', 'offer', 'offer', 'consid', 'none', 'help', 'none']"
"['none', 'via', 'polo', 'la']"
"['memo', 'none']"
"['none', 'sale', 'solano', 'valu', 'none']"
"['none', 'none', 'none', 'none', 'none']"
"['mammet', 'hide', 'go', 'none']"
"['serious', 'feel', 'betray']"
"['none', 'none', 'ye', 'ye']"
"['none', 'plug', 'comput']"
"['straight', 'ignor']"
"['para', 'cabala', 'tabla', 'super', 'lento', 'mi', 'compadr', 'none']"
"['none', 'none', 'feel', 'like', 'somebodi', 'punch', 'cat', 'none', 'see', 'nasti']"
"['none', 'text', 'none', 'save', 'u', 'headach', 'none', 'none']"
"['none', 'good', 'wed']"
"['none', 'red', 'buzz']"
"['warm', 'avoid', 'demand', 'wander', 'avoid', 'none']"
"['none', 'oo', 'mockingli', 'say', 'globos', 'serbia']"
"['none', 'none', 'girl', 'store']"
"['none', 'must', 'boy', 'flamenco']"
"['ear', 'hurt', 'much']"
"['shit', 'gab', 'pula', 'confus', 'none', 'gab', 'pula', 'bread', 'core', 'negat']"
"['none', 'law', 'plank']"
"['none', 'none', 'none']"
"['send', 'even', 'none', 'hater']"
"['none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none']"
"['plan', 'none', 'love', 'ex']"
"['safe', 'say', 'tear', 'averag', 'year', 'one', 'night', 'let', 'none', 'shame']"
"['jink', 'know', 'pass']"
"['haaf', 'say', 'aka', 'none', 'none', 'dial', 'none', 'uh', 'none', 'orang', 'retina', 'none', 'none']"
"['none', 'none', 'none', 'f', 'none', 'none', '_', '_']"
"['none', 'miss', 'u', 'yank', 'smog', 'none', 'see', 'alien', 'help', 'none']"
"['none', 'stabil']"
[]
"['pair', 'none', 'open', 'de', 'slaver', 'en', 'mien', 'rogu', 'dicot', 'fall']"
"['mar', 'shape']"
"['damn', 'ex', 'cri', 'babi', 'wan', 'talk']"
"['none', 'devast']"
"['none', 'brigad', 'kinda']"
"['sweet', 'sheep', 'agora', 'anel', 'none', 'none']"
"['none', 'help', 'none']"
"['none', 'none', 'flukey', 'profil', 'pictur', 'ador']"
"['despot', 'de', 'corner', 'con', 'none', 'none', 'none', 'tuna', 'bueno', 'none', 'para', 'cover', 'feria', 'raja']"
"['none', 'come', 'el', 'embargo', 'en', 'due', 'demand', 'eta']"
"['none', 'none', 'none', 'help', 'none']"
"['none', 'none', 'none', 'mandarin', 'buffet']"
['none']
"['babi', 'complet', 'frozen', 'way', 'drive', 'shit', 'time', 'soon', 'help', 'none']"
"['raja', 'sponde', 'none', 'beetl', 'drug', 'pic', 'help', 'none']"
"['best', 'mond', 'de', 'mere']"
"['none', 'none', 'super']"
"['sequela', 'tamasha', 'e', 'casa', 'vet', 'major', 'sea', 'conquest', 'none', 'guard', 'salad', 'none', 'serum', 'bo', 'still', 'halala', 'none']"
"['none', 'none', 'well', 'instead', 'scar', 'scar']"
"['everyth', 'want', 'happen', 'happen', 'sh', 'hate', 'life', 'right']"
"['el', 'due', 'levant', 'due', 'feria', 'para', 'ester', 'armor', 'none']"
"['line', 'none', 'per', 'la', 'jive', 'e', 'fatti', 'per', 'la', 'stellar', 'deal', 'none', 'help', 'none', 'none', 'jive']"
"['none', 'none']"
"['fuck', 'liar', 'pane', 'tweet', 'dark', 'get', 'none', 'tweet', '24', 'k', 'favorit', 'wat']"
"['flip', 'phone', 'shanti']"
"['funni', 'everi', 'situat', 'go', 'threw', 'aloud', 'tell', 'best', 'friend', 'toad', 'none']"
"['godli', 'person', 'religi', 'one', 'matter', 'mostli', 'logic', 'grow', 'pretend', 'say']"
"['happi', 'birthday', 'handsom', 'guy', 'name', 'none']"
"['none', 'none']"
"['gent', 'en', 'menu', 'person', 'due', 'ay', 'due', 'eye', 'el', 'exampl']"
"['ugh', 'none', 'need', 'hurri', 'hell', 'get', 'outta', 'work']"
"['none', 'help', 'none', 'de', 'team', 'favorit', 'de', 'placebo', 'podium', 'major', 'ester', 'team', 'la', 'tetra', 'lo', 'dice']"
"['due', 'man', 'lo', 'paisano', 'none']"
"['none', 'amen']"
"['none', 'okay', 'good', 'pleas', 'come', 'talk', 'javelin', 'ye', 'sturdi', 'sunda', 'money', 'amp', 'none', 'x']"
"['none', 'sadli', 'lose', 'dock', 'station', 'arriv', 'annoy', 'want', 'item', 'replac', 'asap', 'help', 'none']"
"['catfish', 'need', 'hood', 'pal', 'though', 'none', 'would', 'funni']"
"['final', 'bedtim', 'good', 'freak', 'none']"
"['none', 'bum', 'mix', 'quickli', 'pitch', 'quick', 'immix']"
"['awe', 'cute', 'text', 'everi', 'fucker', 'world', 'shock']"
"['none', 'none', 'none', 'come']"
"['none', 'madden', 'n']"
"['none', 'name', 'u', 'nurs', 'lain', 'none', 'p']"
"['none', 'sleep', 'weak', 'week']"
"['mint', 'sampan', 'angri', 'habit', 'pa', 'none', '۳', 'none', '۳', 'mint', 'lo', 'none', 'none', 'digit', 'mat', 'none', 'none']"
"['eschar', 'el', 'reliqu', 'due', 'toga', 'el', 'bold', 'prize', 'la', 'pile']"
"['none', 'new', 'sou', 'memo', 'demo', 'dread']"
"['none', 'yang', 'saber', 'boy', 'none', 'smog', 'banner', 'ya', 'cut', 'strut', 'ya', 'none', 'mobil', 'go', 'jg', 'mash', 'none', 'plot', 'dark', 'tergal', '15', 'none']"
"['man', 'none', 'come', 'rais', 'trist', 'none']"
"['wish', 'would', 'text']"
"['bimet', 'era', 'p', 'alar', 'chat', 'hallah', 'delta', 'none', 'boa', 'note', 'none', 'sleep', 'tight']"
"['none', 'garot', 'marab', 'de', 'lumber', 'dextro', 'mina', 'none']"
"['one', 'hous', 'none']"
"['buy', 'father', 'orang', 'grape', 'vanilla', 'vanilla', 'twilight']"
['male']
"['set', 'alarm', 'first', 'time', 'week', 'none']"
"['none', 'lot', 'taco']"
"['none', 'naevu', 'incom', 'none', 'none', 'none', 'pizza', 'pic', 'help', 'none']"
['none']
